calisan_id,yas,departman,pozisyon,kidem_yili,aylik_maas,performans_puani,devamsizlik_gun,fazla_mesai,son_terfi_yili,egitim_saat,is_tatmini,calisma_modeli,sehir,ayrildi
1,57,Satis,Uzman,9,51300,68,8,Hayir,5,46,3,Hibrit,Izmir,0
2,43,Satis,Kidemli,0,48300,60,21,Evet,0,17,5,Hibrit,Bursa,0
3,49,Operasyon,Uzman,12,53700,72,24,Hayir,3,45,3,Ofis,Ankara,0
4,42,Satis,Kidemli,18,74300,88,19,Hayir,4,8,1,Ofis,Ankara,1
5,42,Satis,Junior,12,46500,73,18,Hayir,3,23,1,Hibrit,Izmir,1
6,51,Yazilim,Uzman,17,60400,61,17,Hayir,2,28,3,Hibrit,Istanbul,0
7,48,Pazarlama,Junior,2,26100,46,7,Hayir,2,55,5,Ofis,Istanbul,0
8,52,Satis,Junior,17,50300,76,16,Hayir,1,12,4,Hibrit,Izmir,0
9,43,Operasyon,Uzman,15,53700,90,13,Hayir,5,7,4,Hibrit,Istanbul,1
10,41,Yazilim,Uzman,18,60200,61,11,Evet,6,4,5,Ofis,Istanbul,1
11,38,Satis,Junior,5,35200,85,15,Hayir,5,30,3,Ofis,Istanbul,0
12,51,Satis,Uzman,11,52200,71,22,Hayir,0,6,5,Hibrit,Istanbul,0
13,43,Finans,Uzman,1,33200,73,20,Hayir,1,49,5,Hibrit,Istanbul,0
14,52,Pazarlama,Uzman,14,55700,67,8,Hayir,7,29,1,Hibrit,Istanbul,0
15,51,Pazarlama,Kidemli,6,53200,73,18,Evet,6,1,5,Hibrit,Istanbul,0
16,44,Yazilim,Junior,16,51300,77,14,Evet,1,17,2,Uzaktan,Istanbul,1
17,32,Yazilim,Junior,16,52600,69,21,Hayir,6,20,1,Ofis,Istanbul,1
18,37,Satis,Yonetici,2,68700,65,23,Hayir,2,22,5,Uzaktan,Ankara,1
19,42,Satis,Junior,14,45800,59,16,Hayir,4,11,2,Ofis,Ankara,1
20,47,Yazilim,Uzman,3,44700,69,6,Hayir,3,42,1,Ofis,Istanbul,0
21,41,Operasyon,Uzman,19,63700,71,13,Evet,0,23,3,Ofis,Istanbul,1
22,45,Pazarlama,Junior,6,33200,93,16,Hayir,3,22,1,Ofis,Ankara,0
23,53,Finans,Yonetici,11,82600,64,17,Evet,5,1,1,Ofis,Ankara,1
24,53,IK,Kidemli,17,73700,53,22,Evet,2,21,5,Ofis,Antalya,0
25,26,IK,Junior,1,29100,100,4,Hayir,1,16,3,Ofis,Izmir,0
26,49,Operasyon,Junior,15,45500,60,0,Hayir,3,9,5,Ofis,Istanbul,0
27,57,Yazilim,Junior,5,30300,53,20,Hayir,1,52,1,Ofis,Istanbul,1
28,42,Pazarlama,Uzman,4,39300,47,13,Hayir,0,48,3,Hibrit,Bursa,0
29,43,IK,Junior,8,39500,73,13,Hayir,6,16,1,Hibrit,Ankara,0
30,58,Yazilim,Yonetici,6,78500,83,5,Hayir,1,16,2,Ofis,Ankara,0
31,40,Pazarlama,Uzman,18,65700,68,12,Hayir,0,46,3,Ofis,Istanbul,0
32,39,Operasyon,Kidemli,16,69200,91,19,Evet,0,54,2,Hibrit,Istanbul,0
33,37,Pazarlama,Junior,13,46500,45,0,Hayir,5,8,1,Ofis,Istanbul,0
34,52,IK,Junior,1,30100,71,7,Evet,1,57,4,Uzaktan,Istanbul,0
35,51,Finans,Uzman,4,42200,50,17,Hayir,1,47,1,Hibrit,Istanbul,0
36,54,Operasyon,Yonetici,6,71200,92,9,Hayir,3,38,4,Hibrit,Istanbul,0
37,35,Pazarlama,Junior,11,38800,78,14,Evet,7,22,2,Ofis,Bursa,1
38,45,Yazilim,Uzman,5,40700,79,15,Hayir,4,20,4,Ofis,Istanbul,1
39,54,Operasyon,Kidemli,6,54200,87,4,Hayir,6,40,1,Ofis,Bursa,1
40,23,Satis,Junior,7,31700,79,22,Hayir,4,28,4,Hibrit,Istanbul,0
41,38,Operasyon,Uzman,7,51800,67,11,Hayir,5,14,4,Ofis,Istanbul,0
42,24,Yazilim,Junior,4,31900,82,5,Evet,3,3,1,Ofis,Ankara,1
43,33,Operasyon,Kidemli,10,64500,61,8,Hayir,5,24,1,Ofis,Bursa,1
44,26,IK,Kidemli,16,69100,82,2,Evet,5,15,3,Uzaktan,Istanbul,1
45,37,Yazilim,Uzman,9,44400,81,13,Evet,3,14,3,Hibrit,Istanbul,0
46,48,Yazilim,Uzman,13,54100,73,12,Hayir,7,44,2,Ofis,Istanbul,0
47,37,Operasyon,Uzman,19,65000,91,5,Hayir,2,28,5,Hibrit,Istanbul,1
48,23,Satis,Junior,11,43400,80,8,Hayir,1,1,3,Ofis,Istanbul,0
49,34,Finans,Uzman,3,40000,47,2,Hayir,3,38,3,Hibrit,Bursa,0
50,48,Finans,Junior,18,54800,50,12,Evet,0,25,3,Hibrit,Bursa,0
51,52,Yazilim,Kidemli,16,71200,86,19,Evet,5,20,2,Uzaktan,Ankara,1
52,37,Pazarlama,Uzman,1,42100,90,9,Hayir,1,8,2,Ofis,Istanbul,0
53,57,Satis,Yonetici,19,92400,58,6,Hayir,4,42,5,Hibrit,Istanbul,0
54,36,Yazilim,Uzman,8,46300,91,18,Hayir,1,24,1,Ofis,Ankara,1
55,24,Satis,Junior,9,34100,91,10,Hayir,1,33,4,Ofis,Istanbul,0
56,27,Yazilim,Uzman,13,58900,83,14,Hayir,0,4,5,Hibrit,Istanbul,0
57,43,IK,Kidemli,12,62600,73,6,Evet,5,24,3,Hibrit,Istanbul,0
58,26,Operasyon,Uzman,8,46900,67,24,Hayir,2,16,4,Hibrit,Istanbul,1
59,28,Pazarlama,Uzman,14,52000,73,13,Hayir,6,7,3,Ofis,Istanbul,1
60,26,Satis,Kidemli,8,56300,72,19,Hayir,3,0,3,Uzaktan,Ankara,0
61,33,Finans,Kidemli,2,50600,51,24,Hayir,2,1,1,Ofis,Istanbul,1
62,51,Yazilim,Uzman,12,53800,69,16,Evet,2,47,3,Uzaktan,Istanbul,0
63,54,Satis,Yonetici,11,81200,93,13,Evet,4,21,4,Ofis,Istanbul,0
64,28,Yazilim,Uzman,18,62200,84,8,Hayir,3,33,1,Uzaktan,Istanbul,0
65,29,Operasyon,Junior,16,53100,87,3,Hayir,5,28,4,Hibrit,Istanbul,0
66,48,Yazilim,Yonetici,18,93800,69,0,Evet,6,2,2,Ofis,Izmir,1
67,32,IK,Junior,15,52900,77,19,Evet,1,44,1,Ofis,Ankara,1
