musteri_id,yas,musteri_suresi_ay,aylik_ucret,toplam_ucret,sozlesme_tipi,internet_servisi,odeme_yontemi,bakmakla_yukumlu,churn
1,23,64,104.27,6621.25,Aylik,Fiber,Elektronik Cek,Hayir,1
2,65,5,64.64,248.37,2 Yillik,Yok,Kredi Karti,Hayir,0
3,58,29,115.3,3411.33,Aylik,Fiber,Havale,Hayir,1
4,45,33,85.08,2928.76,Aylik,Yok,Elektronik Cek,Hayir,1
5,44,58,31.59,1808.43,Aylik,Fiber,Otomatik Odeme,Hayir,0
6,71,10,108.51,1019.08,Aylik,Fiber,Havale,Evet,0
7,23,32,68.93,2093.91,1 Yillik,DSL,Otomatik Odeme,Evet,1
8,61,11,34.16,363.55,2 Yillik,Fiber,Otomatik Odeme,Hayir,1
9,30,57,35.27,1994.57,2 Yillik,Yok,Havale,Evet,0
10,23,46,88.75,4049.94,1 Yillik,Fiber,Kredi Karti,Hayir,0
11,50,36,24.74,901.71,Aylik,DSL,Elektronik Cek,Hayir,0
12,78,29,48.66,1430.9,Aylik,Fiber,Kredi Karti,Evet,1
13,63,12,33.98,423.91,Aylik,Fiber,Otomatik Odeme,Evet,0
14,65,67,64.11,4279.56,Aylik,Yok,Havale,Evet,0
15,62,47,61.44,2832.6,2 Yillik,DSL,Otomatik Odeme,Hayir,1
16,66,23,72.19,1693.66,Aylik,DSL,Elektronik Cek,Hayir,0
17,49,30,47.96,1439.43,Aylik,Fiber,Havale,Hayir,0
18,25,53,23.2,1274.02,Aylik,DSL,Otomatik Odeme,Hayir,0
19,70,52,81.44,4274.38,Aylik,Yok,Otomatik Odeme,Hayir,0
20,45,34,57.37,1879.49,2 Yillik,Fiber,Otomatik Odeme,Hayir,0
21,49,22,85.13,1801.15,Aylik,Fiber,Kredi Karti,Evet,1
22,40,48,30.87,1443.98,Aylik,DSL,Havale,Hayir,0
23,29,48,21.38,973.43,Aylik,Fiber,Otomatik Odeme,Hayir,0
24,75,44,44.83,2010.28,2 Yillik,Yok,Otomatik Odeme,Hayir,1
25,66,6,65.65,411.47,Aylik,Fiber,Havale,Hayir,0
26,57,35,59.41,2134.31,1 Yillik,DSL,Kredi Karti,Evet,0
27,42,45,101.03,4566.17,Aylik,DSL,Havale,Hayir,0
28,69,69,57.78,3997.25,Aylik,Yok,Elektronik Cek,Evet,0
29,51,38,73.04,2835.51,2 Yillik,Yok,Elektronik Cek,Hayir,1
30,45,25,79.35,2007.24,Aylik,DSL,Otomatik Odeme,Hayir,1
31,45,41,22.18,912.79,Aylik,Fiber,Kredi Karti,Hayir,0
32,32,13,71.51,1003.65,1 Yillik,DSL,Havale,Evet,0
33,23,7,54.48,387.12,Aylik,Fiber,Havale,Hayir,1
34,52,49,62.13,3029.15,Aylik,DSL,Otomatik Odeme,Hayir,0
35,73,72,30.03,2120.27,2 Yillik,Yok,Kredi Karti,Hayir,1
36,21,61,98.28,6030.23,Aylik,Yok,Kredi Karti,Hayir,1
37,71,43,114.24,4974.17,Aylik,DSL,Havale,Hayir,1
38,69,3,22.23,64.16,Aylik,Fiber,Kredi Karti,Hayir,1
39,35,72,80.14,5835.48,1 Yillik,DSL,Elektronik Cek,Hayir,0
40,57,33,96.38,3082.04,Aylik,DSL,Elektronik Cek,Hayir,0
41,28,21,48.48,1015.31,Aylik,DSL,Elektronik Cek,Evet,0
